ttm,spxclose,r,q,strike
8,1115.1,0.212368,2.0682471,1050
8,1115.1,0.212368,2.0682471,1100
8,1115.1,0.212368,2.0682471,1150
8,1115.1,0.212368,2.0682471,1200
8,1115.1,0.212368,2.0682471,1250
8,1115.1,0.212368,2.0682471,1225
8,1115.1,0.212368,2.0682471,950
8,1115.1,0.212368,2.0682471,1000
8,1115.1,0.212368,2.0682471,975
8,1115.1,0.212368,2.0682471,1025
8,1115.1,0.212368,2.0682471,1075
8,1115.1,0.212368,2.0682471,1125
8,1115.1,0.212368,2.0682471,1175
8,1115.1,0.212368,2.0682471,925
8,1115.1,0.212368,2.0682471,1050
8,1115.1,0.212368,2.0682471,1100
8,1115.1,0.212368,2.0682471,1150
8,1115.1,0.212368,2.0682471,1200
8,1115.1,0.212368,2.0682471,1250
8,1115.1,0.212368,2.0682471,1225
8,1115.1,0.212368,2.0682471,950
8,1115.1,0.212368,2.0682471,1000
8,1115.1,0.212368,2.0682471,975
8,1115.1,0.212368,2.0682471,1025
8,1115.1,0.212368,2.0682471,1075
8,1115.1,0.212368,2.0682471,1125
8,1115.1,0.212368,2.0682471,1175
8,1115.1,0.212368,2.0682471,925
90,1115.1,0.261729,2.0682471,1050
90,1115.1,0.261729,2.0682471,900
90,1115.1,0.261729,2.0682471,950
90,1115.1,0.261729,2.0682471,1000
181,1115.1,0.31028801,2.0682471,1050
181,1115.1,0.31028801,2.0682471,900
181,1115.1,0.31028801,2.0682471,950
181,1115.1,0.31028801,2.0682471,1000
273,1115.1,0.40799499,2.0682471,1050
273,1115.1,0.40799499,2.0682471,900
273,1115.1,0.40799499,2.0682471,950
273,1115.1,0.40799499,2.0682471,1000
0,1115.1,,2.0682471,1060
0,1115.1,,2.0682471,1010
0,1115.1,,2.0682471,1015
0,1115.1,,2.0682471,1070
0,1115.1,,2.0682471,1025
0,1115.1,,2.0682471,1080
0,1115.1,,2.0682471,1090
0,1115.1,,2.0682471,1040
0,1115.1,,2.0682471,1095
0,1115.1,,2.0682471,1050
0,1115.1,,2.0682471,975
0,1115.1,,2.0682471,1075
0,1115.1,,2.0682471,1085
0,1115.1,,2.0682471,900
0,1115.1,,2.0682471,950
0,1115.1,,2.0682471,1000
0,1115.1,,2.0682471,990
0,1115.1,,2.0682471,925
90,1115.1,0.261729,2.0682471,1050
90,1115.1,0.261729,2.0682471,900
90,1115.1,0.261729,2.0682471,950
90,1115.1,0.261729,2.0682471,1000
181,1115.1,0.31028801,2.0682471,1050
181,1115.1,0.31028801,2.0682471,900
181,1115.1,0.31028801,2.0682471,950
181,1115.1,0.31028801,2.0682471,1000
273,1115.1,0.40799499,2.0682471,1050
273,1115.1,0.40799499,2.0682471,900
273,1115.1,0.40799499,2.0682471,950
273,1115.1,0.40799499,2.0682471,1000
0,1115.1,,2.0682471,1060
0,1115.1,,2.0682471,1010
0,1115.1,,2.0682471,1015
0,1115.1,,2.0682471,1070
0,1115.1,,2.0682471,1025
0,1115.1,,2.0682471,1080
0,1115.1,,2.0682471,1090
0,1115.1,,2.0682471,1040
0,1115.1,,2.0682471,1095
0,1115.1,,2.0682471,1050
0,1115.1,,2.0682471,975
0,1115.1,,2.0682471,1075
0,1115.1,,2.0682471,1085
0,1115.1,,2.0682471,900
0,1115.1,,2.0682471,950
0,1115.1,,2.0682471,1000
0,1115.1,,2.0682471,990
0,1115.1,,2.0682471,925
90,1115.1,0.261729,2.0682471,500
90,1115.1,0.261729,2.0682471,550
90,1115.1,0.261729,2.0682471,600
90,1115.1,0.261729,2.0682471,650
181,1115.1,0.31028801,2.0682471,500
181,1115.1,0.31028801,2.0682471,550
181,1115.1,0.31028801,2.0682471,600
181,1115.1,0.31028801,2.0682471,650
273,1115.1,0.40799499,2.0682471,500
273,1115.1,0.40799499,2.0682471,550
273,1115.1,0.40799499,2.0682471,600
273,1115.1,0.40799499,2.0682471,650
0,1115.1,,2.0682471,500
0,1115.1,,2.0682471,550
0,1115.1,,2.0682471,600
0,1115.1,,2.0682471,650
90,1115.1,0.261729,2.0682471,500
90,1115.1,0.261729,2.0682471,550
90,1115.1,0.261729,2.0682471,600
90,1115.1,0.261729,2.0682471,650
181,1115.1,0.31028801,2.0682471,500
181,1115.1,0.31028801,2.0682471,550
181,1115.1,0.31028801,2.0682471,600
181,1115.1,0.31028801,2.0682471,650
273,1115.1,0.40799499,2.0682471,500
273,1115.1,0.40799499,2.0682471,550
273,1115.1,0.40799499,2.0682471,600
273,1115.1,0.40799499,2.0682471,650
0,1115.1,,2.0682471,500
0,1115.1,,2.0682471,550
0,1115.1,,2.0682471,600
0,1115.1,,2.0682471,650
90,1115.1,0.261729,2.0682471,700
90,1115.1,0.261729,2.0682471,750
90,1115.1,0.261729,2.0682471,800
90,1115.1,0.261729,2.0682471,850
181,1115.1,0.31028801,2.0682471,700
181,1115.1,0.31028801,2.0682471,750
181,1115.1,0.31028801,2.0682471,800
181,1115.1,0.31028801,2.0682471,850
273,1115.1,0.40799499,2.0682471,700
273,1115.1,0.40799499,2.0682471,750
273,1115.1,0.40799499,2.0682471,800
